Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
JOHNS HOPKINS UNIV	JHE	MD	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
JOHNSON CNTY LIBR	KNJ	KS	Public	9	9	0	4	4	0	5	0	2:06:00	2:06:00	0:00:00
JOINT BASE ELMENDORF-RICHARDSON LIBR	AYI	AK	Federal/Natl Government	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
JOINT BASE LEWIS-MCCHORD LIBRARY SYSTEM	AVW	WA	Federal/Natl Government	4	4	0	1	1	0	3	0	1:00:00	1:00:00	0:00:00
JUNIATA COL	PJU	PA	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
K.O. LEE ABERDEEN PUB LIBRARY.	AML	SD	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
KANSAS PUB LIBR KANSAS CITY	KCK	KS	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KEENE PUB LIBR	HA5	NH	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
KELLER PUB LIB	KELPL	TX	Public	4	0	0	4	4	0	1	0	1:00:00	1:00:00	0:00:00
KELLOGG PUB LIBR	ZWN	ID	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KIMBALL JUNCTION BRANCH SUMMIT CNTY LIBR	SUMCL	UT	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
KIMBERLY PUB LIBR	KIMPL	ID	Public	1	1	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
KIRKWOOD COMMUN COL LIBR	UIN	IA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KIRKWOOD PUB LIBR	MU7	MO	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
KITSAP REG LIBR	YEQ	WA	Public	84	84	0	46	46	0	35	0	1:08:53	1:08:53	0:00:00
KLAMATH CNTY LIBR SERV DIST	KCL	OR	Public	19	19	1	8	8	0	12	0	2:00:00	2:00:00	0:00:00
KNOX CNTY PUB LIBR, KNOXVILLE	TKL	TN	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
LA SALLE UNIV LIBR	LAS	PA	Academic	1	1	0	0	0	0	1	1	0:00:00	0:00:00	0:00:00
LA VISTA PUB LIBR	YA3	NE	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
LAFAYETTE COL	LAF	PA	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
LAKE CNTY PUB LIBR	ILC	IN	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
